city,state,country,population,zip_code
Tokyo,Tokyo,Japan,37785000,25795
Jakarta,Jakarta,Indonesia,33756000,10860
Delhi,Delhi,India,32226000,86820
Guangzhou,Guangdong,China,26940000,64886
Mumbai,Maharashtra,India,24973000,16265
Manila,Manila,Philippines,24922000,92386
Shanghai,Shanghai,China,24073000,47194
Sao Paulo,Sao Paulo,Brazil,23086000,97498
Seoul,Seoul,"Korea, South",23016000,54131
Mexico City,Ciudad de Mexico,Mexico,21804000,70263
Kolkata,West Bengal,India,21747000,26023
Cairo,Al Qahirah,Egypt,20296000,51090
Karachi,Sindh,Pakistan,20249000,77221
Dhaka,Dhaka,Bangladesh,19134000,74820
New York,New York,United States,18832416,10769
Beijing,Beijing,China,18522000,69735
Bangkok,Krung Thep Maha Nakhon,Thailand,18007000,72955
Shenzhen,Guangdong,China,17619000,74925
Moscow,Moskva,Russia,17332000,77969
Buenos Aires,"Buenos Aires, Ciudad Autonoma de",Argentina,16710000,15311
Lagos,Lagos,Nigeria,16637000,93104
Bangalore,Karnataka,India,15386000,63707
Ho Chi Minh City,Ho Chi Minh,Vietnam,15136000,95305
Osaka,Osaka,Japan,15126000,38693
Chengdu,Sichuan,China,14645000,81932
Istanbul,Istanbul,Turkey,14441000,35658
Tehran,Tehran,Iran,14148000,94478
Kinshasa,Kinshasa,Congo (Kinshasa),12836000,28431
Rio de Janeiro,Rio de Janeiro,Brazil,12592000,12747
Chennai,Tamil Nadu,India,12395000,69150
Xi'an,Shaanxi,China,12328000,75725
Lahore,Punjab,Pakistan,12306000,94654
Chongqing,Chongqing,China,12135000,45773
Los Angeles,California,United States,11885717,77435
London,"London, City of",United Kingdom,11262000,66886
Paris,Ile-de-France,France,11060000,76803
Linyi,Shandong,China,10820000,41551
Dongguan,Guangdong,China,10646000,21394
Baoding,Hebei,China,10546831,79092
Hyderabad,Telangana,India,10494000,13890
Tianjin,Tianjin,China,10368000,51606
Lima,Lima,Peru,10320000,90038
Wuhan,Hubei,China,10251000,97313
Nanyang,Henan,China,9577771,20627
Hangzhou,Zhejiang,China,9523000,18792
Nagoya,Aichi,Japan,9197000,83969
Luanda,Luanda,Angola,9051000,53001
Foshan,Guangdong,China,9042500,86552
Kuala Lumpur,Kuala Lumpur,Malaysia,8911000,33897
Zhoukou,Henan,China,8677800,78148
Tongshan,Jiangsu,China,8669000,33483
Hanoi,Ha Noi,Vietnam,8587100,58555
Chicago,Illinois,United States,8489066,27159
Nanjing,Jiangsu,China,8422000,90077
Heze,Shandong,China,8287693,45920
Pune,Maharashtra,India,8231000,77121
Jining,Shandong,China,8081905,79479
Bogota,Bogota,Colombia,8034649,99475
Ahmedabad,Gujarat,India,8009000,29457
Shenyang,Liaoning,China,7964000,76557
Dar es Salaam,Dar es Salaam,Tanzania,7962000,87189
Khartoum,Khartoum,Sudan,7869000,88953
Johannesburg,Gauteng,South Africa,7860781,62995
Fuyang,Anhui,China,7599913,50757
Hong Kong,Hong Kong,Hong Kong,7450000,19692
Ganzhou,Jiangxi,China,7396873,55758
Shangqiu,Henan,China,7325300,82409
Cangzhou,Hebei,China,7300783,81211
Riyadh,Ar Riyad,Saudi Arabia,7237000,75697
Santiago,Region Metropolitana,Chile,7171000,47065
Zhumadian,Henan,China,7008427,42606
Zhanjiang,Guangdong,China,6981236,21534
Rangoon,Yangon,Burma,6874000,50397
Yancheng,Jiangsu,China,6709629,11016
Bijie,Guizhou,China,6686100,99789
Xingtai,Hebei,China,6645766,65591
Hengyang,Hunan,China,6645243,99812
Shaoyang,Hunan,China,6563520,33247
Surabaya,Jawa Timur,Indonesia,6556000,34300
Surat,Gujarat,India,6538000,84065
Quanzhou,Fujian,China,6480000,92798
Shangrao,Jiangxi,China,6435300,19268
Zunyi,Guizhou,China,6270700,96807
Madrid,Madrid,Spain,6211000,22185
